t2        	/home/sam/phinet/data/adni_holdout/preprocess/pd/ADNI_033_S_0922_MR_Axial_PD_T2_FSE__br_raw_20070430133736000_1_S31134_I52241.nii.gzConfidences: 20.79,  1.50, 77.71
t2        	/home/sam/phinet/data/adni_holdout/preprocess/pd/ADNI_053_S_0621_MR_Axial_PD_T2_FSE__br_raw_20080110092201109_1_S44455_I86885.nii.gzConfidences:  5.37,  0.08, 94.55
pd        	/home/sam/phinet/data/adni_holdout/preprocess/t1/ADNI_011_S_2274_MR_MPRAGE_br_raw_20110505140341975_54_S108102_I233439.nii.gzConfidences: 62.08, 36.64,  1.28
t2        	/home/sam/phinet/data/adni_holdout/preprocess/pd/ADNI_094_S_1397_MR_Axial_PD_T2_FSE__br_raw_20080519103553546_1_S50304_I106048.nii.gzConfidences: 13.06,  0.75, 86.18
pd        	/home/sam/phinet/data/adni_holdout/preprocess/t1/ADNI_013_S_2389_MR_MPRAGE_br_raw_20110920161639189_36_S122818_I257110.nii.gzConfidences: 81.84, 14.59,  3.57
t2        	/home/sam/phinet/data/adni_holdout/preprocess/pd/ADNI_002_S_0954_MR_Axial_PD_T2_FSE__br_raw_20071015175214568_95_S41497_I77801.nii.gzConfidences: 31.85,  5.08, 63.07
t1        	/home/sam/phinet/data/adni_holdout/preprocess/pd/ADNI_127_S_5058_MR_Ax_T2_FSE_with_Fat_Sat_br_raw_20130110155432590_37_S179902_I354641.nii.gzConfidences:  9.38, 76.76, 13.86
t2        	/home/sam/phinet/data/adni_holdout/preprocess/pd/ADNI_094_S_1417_MR_Axial_STRAIGHT_PD_T2_FSE_br_raw_20090219161140518_1_S63350_I136531.nii.gzConfidences:  9.13,  0.24, 90.63
pd        	/home/sam/phinet/data/adni_holdout/preprocess/t1/ADNI_067_S_4072_MR_MPRAGE_br_raw_20110706163415122_119_S113733_I243482.nii.gzConfidences: 60.30, 38.25,  1.45
t1        	/home/sam/phinet/data/adni_holdout/preprocess/pd/ADNI_127_S_5028_MR_Ax_T2_FSE_with_Fat_Sat_br_raw_20130220123611391_33_S182753_I360783.nii.gzConfidences:  3.86, 93.10,  3.04
t2        	/home/sam/phinet/data/adni_holdout/preprocess/pd/ADNI_133_S_0525_MR_Axial_PD_T2_FSE__br_raw_20070207131942698_1_S26011_I38357.nii.gzConfidences: 15.99,  1.91, 82.10
t2        	/home/sam/phinet/data/adni_holdout/preprocess/pd/ADNI_126_S_0606_MR_Axial_PD_T2_FSE__br_raw_20140715135053656_21_S225098_I435640.nii.gzConfidences: 14.45,  0.31, 85.23
pd        	/home/sam/phinet/data/adni_holdout/preprocess/t1/ADNI_024_S_4169_MR_MPRAGE_br_raw_20130927175259867_48_S202418_I392473.nii.gzConfidences: 89.66,  8.50,  1.84
pd        	/home/sam/phinet/data/adni_holdout/preprocess/t1/ADNI_067_S_4310_MR_MPRAGE_br_raw_20120517153751781_67_S150940_I305133.nii.gzConfidences: 52.67, 45.31,  2.02
pd        	/home/sam/phinet/data/adni_holdout/preprocess/t1/ADNI_037_S_4381_MR_MPRAGE_br_raw_20120420133350166_22_S147993_I299165.nii.gzConfidences: 56.05, 42.89,  1.06
t2        	/home/sam/phinet/data/adni_holdout/preprocess/pd/ADNI_033_S_0906_MR_Axial_PD_T2_FSE__br_raw_20081010111445168_1_S57248_I120063.nii.gzConfidences: 16.02,  0.65, 83.33
t2        	/home/sam/phinet/data/adni_holdout/preprocess/pd/ADNI_130_S_0956_MR_Axial_PD_T2_FSE__br_raw_20071101101629749_13_S42128_I80091.nii.gzConfidences: 12.89,  0.06, 87.05
pd        	/home/sam/phinet/data/adni_holdout/preprocess/t1/ADNI_123_S_2363_MR_MPRAGE_br_raw_20130528115831686_12_S190558_I373936.nii.gzConfidences: 88.40,  9.34,  2.25
t2        	/home/sam/phinet/data/adni_holdout/preprocess/pd/ADNI_098_S_0269_MR_Axial_PD_T2_FSE__br_raw_20080407153320627_1_S48328_I101190.nii.gzConfidences:  6.20,  0.05, 93.75
pd        	/home/sam/phinet/data/adni_holdout/preprocess/t1/ADNI_099_S_0551_MR_MPRAGE_br_raw_20061128092118218_98_S22948_I30570.nii.gzConfidences: 89.85,  6.05,  4.10
t2        	/home/sam/phinet/data/adni_holdout/preprocess/pd/ADNI_136_S_0579_MR_Axial_PD_T2_FSE__br_raw_20070625154846812_93_S33990_I57705.nii.gzConfidences: 12.33,  0.23, 87.44
t2        	/home/sam/phinet/data/adni_holdout/preprocess/pd/ADNI_137_S_0443_MR_Axial_PD_T2_FSE__br_raw_20070808120542535_95_S37007_I65815.nii.gzConfidences:  0.84,  0.00, 99.16
pd        	/home/sam/phinet/data/adni_holdout/preprocess/t1/ADNI_072_S_2116_MR_MPRAGE_br_raw_20131106165008558_156_S205591_I397534.nii.gzConfidences: 50.32, 48.93,  0.75
t2        	/home/sam/phinet/data/adni_holdout/preprocess/pd/ADNI_130_S_0285_MR_Axial_PD_T2_FSE__br_raw_20100416163045147_87_S83438_I171253.nii.gzConfidences: 26.09,  0.37, 73.54
t2        	/home/sam/phinet/data/adni_holdout/preprocess/pd/ADNI_137_S_0722_MR_Axial_PD_T2_FSE__br_raw_20070228130413654_1_S27253_I41836.nii.gzConfidences:  0.34,  0.00, 99.66
t2        	/home/sam/phinet/data/adni_holdout/preprocess/pd/ADNI_053_S_0919_MR_Axial_PD_T2_FSE__br_raw_20061019154812933_1_S20421_I26737.nii.gzConfidences:  2.48,  0.01, 97.51
pd        	/home/sam/phinet/data/adni_holdout/preprocess/t1/ADNI_135_S_4954_MR_MPRAGE_br_raw_20120924115236764_47_S168533_I336502.nii.gzConfidences: 57.49, 41.40,  1.12
pd        	/home/sam/phinet/data/adni_holdout/preprocess/t1/ADNI_073_S_4216_MR_MPRAGE_br_raw_20111206161042652_46_S132049_I270290.nii.gzConfidences: 57.59, 41.37,  1.04
t2        	/home/sam/phinet/data/adni_holdout/preprocess/pd/ADNI_029_S_1073_MR_Axial_PD_T2_FSE__br_raw_20100114163522268_3_S78483_I163764.nii.gzConfidences: 16.47,  1.21, 82.32
t2        	/home/sam/phinet/data/adni_holdout/preprocess/pd/ADNI_137_S_0994_MR_Axial_PD_T2_FSE__br_raw_20070606084927650_95_S33055_I56053.nii.gzConfidences:  3.12,  0.05, 96.82
t2        	/home/sam/phinet/data/adni_holdout/preprocess/pd/ADNI_029_S_1073_MR_Axial_PD_T2_FSE__br_raw_20080505110222765_5_S49626_I104612.nii.gzConfidences: 13.13,  1.53, 85.34
pd        	/home/sam/phinet/data/adni_holdout/preprocess/t1/ADNI_018_S_2133_MR_MPRAGE_br_raw_20121220112015865_25_S178284_I352430.nii.gzConfidences: 85.24, 11.63,  3.13
pd        	/home/sam/phinet/data/adni_holdout/preprocess/t1/ADNI_003_S_1057_MR_MPRAGE_br_raw_20090323091654593_98_S64900_I139584.nii.gzConfidences: 81.64, 12.33,  6.03
pd        	/home/sam/phinet/data/adni_holdout/preprocess/t1/ADNI_037_S_4381_MR_MPRAGE_br_raw_20140321135904940_31_S214629_I417543.nii.gzConfidences: 77.51, 20.54,  1.95
t2        	/home/sam/phinet/data/adni_holdout/preprocess/pd/ADNI_094_S_1417_MR_Axial_PD_T2_FSE__br_raw_20080819095548879_1_S55485_I116315.nii.gzConfidences:  6.29,  0.19, 93.52
t1        	/home/sam/phinet/data/adni_holdout/preprocess/pd/ADNI_094_S_4858_MR_Axial_T2-FSE_with_FAT_SAT__br_raw_20161123084509245_42_S515318_I795299.nii.gzConfidences:  2.47, 87.22, 10.32
pd        	/home/sam/phinet/data/adni_holdout/preprocess/t1/ADNI_067_S_4072_MR_MPRAGE_br_raw_20111012111441107_124_S125141_I260667.nii.gzConfidences: 60.03, 38.35,  1.63
t2        	/home/sam/phinet/data/adni_holdout/preprocess/pd/ADNI_031_S_0321_MR_FSE_PD_T2__br_raw_20061102154648515_1_S21845_I28545.nii.gzConfidences:  1.10,  0.00, 98.90
pd        	/home/sam/phinet/data/adni_holdout/preprocess/t1/ADNI_018_S_5240_MR_MPRAGE_br_raw_20130723160412209_118_S196225_I382181.nii.gzConfidences: 91.83,  1.54,  6.63
t2        	/home/sam/phinet/data/adni_holdout/preprocess/pd/ADNI_116_S_0890_MR_FSE_PD_T2__br_raw_20070803133116481_95_S36892_I64544.nii.gzConfidences:  0.88,  0.01, 99.11
t2        	/home/sam/phinet/data/adni_holdout/preprocess/pd/ADNI_033_S_0513_MR_Axial_PD_T2_FSE__br_raw_20061208111655496_1_S23653_I32260.nii.gzConfidences:  7.32,  0.05, 92.63
pd        	/home/sam/phinet/data/adni_holdout/preprocess/t1/ADNI_016_S_1121_MR_MPRAGE_br_raw_20070724154216724_139_S36294_I62010.nii.gzConfidences: 94.61,  2.62,  2.77
pd        	/home/sam/phinet/data/adni_holdout/preprocess/t1/ADNI_003_S_0908_MR_MPRAGE_br_raw_20070424124024359_98_S30451_I50620.nii.gzConfidences: 78.33, 18.01,  3.65
t2        	/home/sam/phinet/data/adni_holdout/preprocess/pd/ADNI_029_S_1073_MR_Axial_PD_T2_FSE__br_raw_20070625175105515_15_S34005_I57734.nii.gzConfidences:  9.55,  0.69, 89.76
t2        	/home/sam/phinet/data/adni_holdout/preprocess/pd/ADNI_127_S_0754_MR_Axial_PD_T2_FSE__br_raw_20060905144630794_1_S18514_I23786.nii.gzConfidences: 11.00,  1.56, 87.45
pd        	/home/sam/phinet/data/adni_holdout/preprocess/t1/ADNI_037_S_4381_MR_MPRAGE_br_raw_20130128145731238_37_S181073_I356409.nii.gzConfidences: 78.76, 19.36,  1.87
t2        	/home/sam/phinet/data/adni_holdout/preprocess/pd/ADNI_002_S_0816_MR_Axial_PD_T2_FSE__br_raw_20060831015915155_1_S18408_I23603.nii.gzConfidences: 25.91,  0.33, 73.76
t1        	/home/sam/phinet/data/adni_holdout/preprocess/pd/ADNI_027_S_4757_MR_Ax_T2_FSE_with_Fat_Sat_br_raw_20121213153124598_2_S177561_I351323.nii.gzConfidences: 10.52, 70.54, 18.94
t2        	/home/sam/phinet/data/adni_holdout/preprocess/pd/ADNI_037_S_0627_MR_FSE_PD_T2__br_raw_20070904145457732_95_S38782_I71223.nii.gzConfidences:  3.80,  0.08, 96.12
pd        	/home/sam/phinet/data/adni_holdout/preprocess/t1/ADNI_031_S_4590_MR_MPRAGE_br_raw_20120615175051517_6_S154131_I310768.nii.gzConfidences: 89.87,  2.04,  8.10
t2        	/home/sam/phinet/data/adni_holdout/preprocess/pd/ADNI_027_S_1082_MR_Axial_PD_T2_FSE__br_raw_20070606150505653_1_S33127_I56167.nii.gzConfidences:  5.36,  0.24, 94.40
pd        	/home/sam/phinet/data/adni_holdout/preprocess/t1/ADNI_114_S_0410_MR_MPRAGE_br_raw_20071102165911464_98_S42230_I80580.nii.gzConfidences: 80.42, 15.75,  3.83
t2        	/home/sam/phinet/data/adni_holdout/preprocess/pd/ADNI_006_S_0322_MR_Axial_PD_T2_FSE__br_raw_20060620104041656_1_S15657_I17195.nii.gzConfidences:  5.92,  0.08, 94.00
pd        	/home/sam/phinet/data/adni_holdout/preprocess/t1/ADNI_072_S_2116_MR_MPRAGE_br_raw_20110121113818578_14_S98008_I213610.nii.gzConfidences: 57.43, 41.88,  0.69
t2        	/home/sam/phinet/data/adni_holdout/preprocess/pd/ADNI_053_S_0919_MR_Axial_PD_T2_FSE__br_raw_20101104125932265_45_S94274_I202610.nii.gzConfidences:  4.50,  0.01, 95.49
t2        	/home/sam/phinet/data/adni_holdout/preprocess/pd/ADNI_127_S_0259_MR_Axial_PD_T2_FSE__br_raw_20060313164532004_1_S12135_I11886.nii.gzConfidences:  3.67,  0.02, 96.31
t2        	/home/sam/phinet/data/adni_holdout/preprocess/pd/ADNI_094_S_1164_MR_Axial__STRAIGHT__PD_T2_FSE_br_raw_20070703130146279_1_S34365_I58422.nii.gzConfidences: 15.25,  0.76, 84.00
t2        	/home/sam/phinet/data/adni_holdout/preprocess/pd/ADNI_127_S_1427_MR_Axial_PD_T2_FSE__br_raw_20080221185046344_19_S46019_I91509.nii.gzConfidences: 21.03,  1.01, 77.96
t2        	/home/sam/phinet/data/adni_holdout/preprocess/pd/ADNI_033_S_0922_MR_Axial_PD_T2_FSE__br_raw_20071016100212429_81_S41528_I77850.nii.gzConfidences: 20.95,  0.96, 78.09
t2        	/home/sam/phinet/data/adni_holdout/preprocess/pd/ADNI_127_S_1427_MR_Axial_PD_T2_FSE__br_raw_20070821105852680_1_S37932_I69354.nii.gzConfidences: 20.22,  1.11, 78.67
t2        	/home/sam/phinet/data/adni_holdout/preprocess/pd/ADNI_033_S_0733_MR_Axial_PD_T2_FSE__br_raw_20060719102849296_1_S16931_I19137.nii.gzConfidences: 15.58,  0.82, 83.60
t1        	/home/sam/phinet/data/adni_holdout/preprocess/pd/ADNI_021_S_5099_MR_Axial_T2-FSE_with_Fat_Sat__br_raw_20130611144804916_42_S191980_I376031.nii.gzConfidences:  6.85, 87.83,  5.33
pd        	/home/sam/phinet/data/adni_holdout/preprocess/t1/ADNI_003_S_0908_MR_MPRAGE_br_raw_20080508160115150_98_S49795_I104926.nii.gzConfidences: 78.20, 19.62,  2.18
pd        	/home/sam/phinet/data/adni_holdout/preprocess/t1/ADNI_020_S_1288_MR_MPRAGE_br_raw_20070314125122828_63_S28081_I44672.nii.gzConfidences: 57.42, 41.79,  0.80
t2        	/home/sam/phinet/data/adni_holdout/preprocess/pd/ADNI_033_S_0511_MR_Axial_PD_T2_FSE__br_raw_20070608130013135_1_S33269_I56447.nii.gzConfidences: 10.24,  0.18, 89.58
pd        	/home/sam/phinet/data/adni_holdout/preprocess/t1/ADNI_009_S_5252_MR_MPRAGE_br_raw_20140227152524000_59_S213442_I415587.nii.gzConfidences: 70.14, 27.85,  2.01
t2        	/home/sam/phinet/data/adni_holdout/preprocess/pd/ADNI_130_S_0289_MR_Axial_PD_T2_FSE__br_raw_20080721130224267_25_S53685_I113607.nii.gzConfidences: 21.25,  0.13, 78.62
t1        	/home/sam/phinet/data/adni_holdout/preprocess/pd/ADNI_021_S_5194_MR_Axial_T2-FSE_with_Fat_Sat__br_raw_20130530094631360_16_S190982_I374574.nii.gzConfidences:  8.04, 86.72,  5.24
t2        	/home/sam/phinet/data/adni_holdout/preprocess/pd/ADNI_136_S_0874_MR_Axial_PD_T2_FSE__br_raw_20061108105649024_1_S22233_I29139.nii.gzConfidences: 18.42,  1.93, 79.64
t2        	/home/sam/phinet/data/adni_holdout/preprocess/pd/ADNI_033_S_0906_MR_Axial_PD_T2_FSE__br_raw_20070427101834239_1_S30929_I51652.nii.gzConfidences: 17.29,  1.28, 81.43
t2        	/home/sam/phinet/data/adni_holdout/preprocess/pd/ADNI_006_S_0484_MR_Axial_PD_T2_FSE__br_raw_20060622091006656_95_S15772_I17375.nii.gzConfidences: 27.45,  1.89, 70.66
pd        	/home/sam/phinet/data/adni_holdout/preprocess/t1/ADNI_036_S_4894_MR_MPRAGE_br_raw_20121113091949670_141_S174315_I346266.nii.gzConfidences: 54.88, 44.40,  0.71
t2        	/home/sam/phinet/data/adni_holdout/preprocess/pd/ADNI_136_S_0579_MR_Axial_PD_T2_FSE__br_raw_20060629122554861_1_S15950_I17655.nii.gzConfidences: 10.25,  0.18, 89.57
t2        	/home/sam/phinet/data/adni_holdout/preprocess/pd/ADNI_033_S_1309_MR_Axial_PD_T2_FSE__br_raw_20080904095033485_63_S56169_I117391.nii.gzConfidences:  8.66,  0.15, 91.19
t1        	/home/sam/phinet/data/adni_holdout/preprocess/pd/ADNI_127_S_5266_MR_Ax_T2_FSE_with_Fat_Sat_br_raw_20130730152628437_7_S196946_I383422.nii.gzConfidences:  1.60, 97.53,  0.87
t1        	/home/sam/phinet/data/adni_holdout/preprocess/pd/ADNI_027_S_2245_MR_Ax_T2_FSE_with_Fat_Sat_br_raw_20150115153821244_1_S245041_I468520.nii.gzConfidences:  6.48, 85.82,  7.70
t1        	/home/sam/phinet/data/adni_holdout/preprocess/pd/ADNI_029_S_4384_MR_Axial_T2-FSE_with_Fat_Sat__br_raw_20130215152322817_31_S182550_I360486.nii.gzConfidences:  4.82, 92.37,  2.81
t1        	/home/sam/phinet/data/adni_holdout/preprocess/pd/ADNI_027_S_5093_MR_Ax_T2_FSE_with_Fat_Sat_br_raw_20140317200713391_31_S214183_I416855.nii.gzConfidences: 14.42, 58.43, 27.15
t1        	/home/sam/phinet/data/adni_holdout/preprocess/pd/ADNI_127_S_5028_MR_Ax_T2_FSE_with_Fat_Sat_br_raw_20131212142727523_13_S208088_I401528.nii.gzConfidences:  5.77, 88.58,  5.64
t1        	/home/sam/phinet/data/adni_holdout/preprocess/pd/ADNI_021_S_4857_MR_Ax_T2_FSE_with_Fat_Sat_br_raw_20140729093152374_3_S226245_I437454.nii.gzConfidences:  2.00, 97.19,  0.81
t1        	/home/sam/phinet/data/adni_holdout/preprocess/pd/ADNI_127_S_5185_MR_Ax_T2_FSE_with_Fat_Sat_br_raw_20130529170721178_34_S190937_I374508.nii.gzConfidences: 11.40, 69.92, 18.68
t2        	/home/sam/phinet/data/adni_holdout/preprocess/pd/ADNI_130_S_0449_MR_Axial_PD_T2_FSE__br_raw_20080206092826173_7_S45346_I89443.nii.gzConfidences: 14.22,  0.75, 85.03
t2        	/home/sam/phinet/data/adni_holdout/preprocess/pd/ADNI_130_S_0969_MR_Axial_PD_T2_FSE__br_raw_20070507161535051_1_S31838_I53681.nii.gzConfidences: 20.26,  0.47, 79.27
t2        	/home/sam/phinet/data/adni_holdout/preprocess/pd/ADNI_002_S_1155_MR_Axial_PD_T2_FSE__br_raw_20090313184957981_1_S64558_I138948.nii.gzConfidences:  6.35,  0.17, 93.48
pd        	/home/sam/phinet/data/adni_holdout/preprocess/t1/ADNI_037_S_4381_MR_MPRAGE_br_raw_20120119075105923_173_S137404_I279148.nii.gzConfidences: 67.10, 31.94,  0.96
t2        	/home/sam/phinet/data/adni_holdout/preprocess/pd/ADNI_133_S_0629_MR_Axial_PD_T2_FSE__br_raw_20060628143526764_1_S15912_I17594.nii.gzConfidences:  1.65,  0.01, 98.34
t2        	/home/sam/phinet/data/adni_holdout/preprocess/pd/ADNI_116_S_0834_MR_FSE_PD_T2__br_raw_20070427133340921_1_S31021_I51803.nii.gzConfidences:  2.07,  0.02, 97.91
pd        	/home/sam/phinet/data/adni_holdout/preprocess/t1/ADNI_072_S_2093_MR_MPRAGE_br_raw_20150506123126939_5_S257749_I489768.nii.gzConfidences: 75.00, 23.00,  2.00
t2        	/home/sam/phinet/data/adni_holdout/preprocess/pd/ADNI_127_S_0259_MR_Axial_PD_T2_FSE__br_raw_20060313164606935_1_S12134_I11885.nii.gzConfidences:  8.01,  0.08, 91.91
t1        	/home/sam/phinet/data/adni_holdout/preprocess/pd/ADNI_109_S_4594_MR_AXIAL_T2-FSE_WITH_FAT_SAT__br_raw_20140519142312980_6_S218843_I425142.nii.gzConfidences:  5.03, 88.78,  6.19
pd        	/home/sam/phinet/data/adni_holdout/preprocess/t1/ADNI_036_S_4562_MR_MPRAGE_br_raw_20120713100218856_107_S157519_I316201.nii.gzConfidences: 81.37, 16.92,  1.71
t2        	/home/sam/phinet/data/adni_holdout/preprocess/pd/ADNI_021_S_0231_MR_Axial_PD_T2_FSE__br_20060228112527280_21_S11836_I11432.nii.gzConfidences:  0.71,  0.00, 99.29
t2        	/home/sam/phinet/data/adni_holdout/preprocess/pd/ADNI_027_S_1385_MR_Axial_PD_T2_FSE__br_raw_20080318142421756_1_S47221_I98765.nii.gzConfidences: 15.54,  1.44, 83.02
t2        	/home/sam/phinet/data/adni_holdout/preprocess/pd/ADNI_053_S_0507_MR_Axial_PD_T2_FSE__br_raw_20080612100408765_1_S51483_I109315.nii.gzConfidences: 22.02,  1.96, 76.02
pd        	/home/sam/phinet/data/adni_holdout/preprocess/t1/ADNI_072_S_4226_MR_MPRAGE_br_raw_20111209125706200_10_S132304_I270727.nii.gzConfidences: 50.68, 48.14,  1.17
t1        	/home/sam/phinet/data/adni_holdout/preprocess/pd/ADNI_099_S_2146_MR_Ax_T2_FSE_with_Fat_Sat_br_raw_20131104171031436_13_S205463_I396974.nii.gzConfidences:  1.42, 97.45,  1.13
t2        	/home/sam/phinet/data/adni_holdout/preprocess/pd/ADNI_052_S_1054_MR_Axial_PD_T2_FSE__br_raw_20061128113129125_1_S22953_I30579.nii.gzConfidences: 29.11,  0.97, 69.92
t2        	/home/sam/phinet/data/adni_holdout/preprocess/pd/ADNI_053_S_0919_MR_Axial_PD_T2_FSE__br_raw_20070508122048428_1_S31891_I53771.nii.gzConfidences:  2.15,  0.01, 97.85
t2        	/home/sam/phinet/data/adni_holdout/preprocess/pd/ADNI_037_S_0627_MR_FSE_PD_T2__br_raw_20070221134408585_1_S26828_I41155.nii.gzConfidences:  3.20,  0.04, 96.76
t1        	/home/sam/phinet/data/adni_holdout/preprocess/pd/ADNI_094_S_4434_MR_Axial_T2-FSE_with_FAT_SAT__br_raw_20140311151051088_17_S213881_I416445.nii.gzConfidences:  1.52, 97.44,  1.04
pd        	/home/sam/phinet/data/adni_holdout/preprocess/t1/ADNI_032_S_0147_MR____________MPRAGE__br_raw_20070221181940569_1_S26883_I41234.nii.gzConfidences: 73.21, 25.86,  0.93
t2        	/home/sam/phinet/data/adni_holdout/preprocess/pd/ADNI_136_S_0874_MR_Axial_PD_T2_FSE__br_raw_20070605152022272_1_S33047_I55987.nii.gzConfidences: 16.78,  1.75, 81.47
pd        	/home/sam/phinet/data/adni_holdout/preprocess/t1/ADNI_041_S_0679_MR_MPRAGE_br_raw_20060721094712221_98_S17077_I19378.nii.gzConfidences: 91.23,  0.77,  8.00
pd        	/home/sam/phinet/data/adni_holdout/preprocess/t1/ADNI_031_S_2233_MR_MPRAGE_br_raw_20120105170750508_129_S135532_I275535.nii.gzConfidences: 79.51, 13.52,  6.97
pd        	/home/sam/phinet/data/adni_holdout/preprocess/t1/ADNI_131_S_5138_MR_MPRAGE_br_raw_20130710120123915_8_S194402_I379704.nii.gzConfidences: 91.12,  2.77,  6.11
pd        	/home/sam/phinet/data/adni_holdout/preprocess/t1/ADNI_137_S_4623_MR_MPRAGE_br_raw_20140509083759509_144_S218195_I424164.nii.gzConfidences: 59.79, 38.76,  1.45
t1        	/home/sam/phinet/data/adni_holdout/preprocess/pd/ADNI_127_S_5132_MR_Ax_T2_FSE_with_Fat_Sat_br_raw_20140501132939234_32_S217547_I423226.nii.gzConfidences: 10.93, 72.20, 16.87
pd        	/home/sam/phinet/data/adni_holdout/preprocess/t1/ADNI_099_S_0958_MR_MPRAGE_br_raw_20061020114253046_98_S20494_I26822.nii.gzConfidences: 72.68, 25.25,  2.07
t1        	/home/sam/phinet/data/adni_holdout/preprocess/pd/ADNI_027_S_5118_MR_Ax_T2_FSE_with_Fat_Sat_br_raw_20130329163310388_39_S185511_I364904.nii.gzConfidences:  7.86, 84.66,  7.48
t2        	/home/sam/phinet/data/adni_holdout/preprocess/pd/ADNI_002_S_0729_MR_Axial_PD_T2_FSE__br_raw_20060718015629956_27_S16873_I19056.nii.gzConfidences: 12.12,  1.26, 86.61
pd        	/home/sam/phinet/data/adni_holdout/preprocess/t1/ADNI_011_S_0856_MR_MPRAGE_br_raw_20071001100539329_99_S40766_I76347.nii.gzConfidences: 90.26,  6.82,  2.92
t2        	/home/sam/phinet/data/adni_holdout/preprocess/pd/ADNI_021_S_0273_MR_Axial_PD_T2_FSE__br_raw_20071005130533370_77_S41006_I76865.nii.gzConfidences:  0.35,  0.00, 99.65
pd        	/home/sam/phinet/data/adni_holdout/preprocess/t1/ADNI_019_S_4680_MR_MPRAGE_br_raw_20120425161952913_119_S148323_I300530.nii.gzConfidences: 50.28, 47.53,  2.19
pd        	/home/sam/phinet/data/adni_holdout/preprocess/t1/ADNI_037_S_4706_MR_MPRAGE_br_raw_20120802132206433_15_S159312_I321148.nii.gzConfidences: 51.93, 46.78,  1.28
pd        	/home/sam/phinet/data/adni_holdout/preprocess/t1/ADNI_073_S_4795_MR_MPRAGE_br_raw_20120606151852821_163_S153047_I308459.nii.gzConfidences: 75.24, 22.10,  2.67
pd        	/home/sam/phinet/data/adni_holdout/preprocess/t1/ADNI_002_S_2073_MR_MPRAGE_br_raw_20101206185927496_48_S95924_I207661.nii.gzConfidences: 85.83, 10.93,  3.24
t2        	/home/sam/phinet/data/adni_holdout/preprocess/pd/ADNI_130_S_0285_MR_Axial_PD_T2_FSE__br_raw_20071016105837880_95_S41534_I77861.nii.gzConfidences:  9.83,  0.11, 90.07
