pd        	ADNI_062_S_1091_MR_MPRAGE_br_raw_20061128145742768_98_S23031_I30717.nii.gzConfidences: 90.55,  7.77,  1.68
t2        	ADNI_094_S_1027_MR_Axial_PD_T2_FSE__br_raw_20061027105638952_1_S21206_I27722.nii.gzConfidences: 38.73,  2.51, 58.75
t2        	ADNI_137_S_0994_MR_Axial_PD_T2_FSE__br_raw_20081204135806786_1_S60514_I129207.nii.gzConfidences: 18.96, 12.36, 68.68
t2        	ADNI_002_S_1155_MR_Axial_PD_T2_FSE__br_raw_20090313184957981_1_S64558_I138948.nii.gzConfidences: 21.15, 10.77, 68.08
pd        	ADNI_116_S_4625_MR_MPRAGE_br_raw_20130404142108923_112_S185947_I365505.nii.gzConfidences: 89.52,  8.41,  2.08
pd        	ADNI_137_S_4623_MR_MPRAGE_br_raw_20121112150401784_83_S174216_I346141.nii.gzConfidences: 72.63, 15.76, 11.62
pd        	ADNI_033_S_0733_MR_MPRAGE_br_raw_20070216142542884_98_S26652_I40627.nii.gzConfidences: 75.39, 22.33,  2.27
pd        	ADNI_067_S_1185_MR_MPRAGE_br_raw_20070727145830619_72_S36449_I62464.nii.gzConfidences: 89.28,  8.03,  2.69
pd        	ADNI_031_S_2233_MR_MPRAGE_br_raw_20120105170750508_129_S135532_I275535.nii.gzConfidences: 44.79, 26.06, 29.14
pd        	ADNI_114_S_0410_MR_MPRAGE_br_raw_20060418104549908_98_S13289_I13595.nii.gzConfidences: 63.06, 13.76, 23.18
t2        	ADNI_053_S_0507_MR_Axial_PD_T2_FSE__br_raw_20061213081836633_1_S23927_I32947.nii.gzConfidences: 24.83, 10.32, 64.85
t2        	ADNI_137_S_0669_MR_Axial_PD_T2_FSE__br_raw_20080820151124232_1_S55586_I116483.nii.gzConfidences: 23.04,  4.52, 72.43
pd        	ADNI_036_S_4715_MR_MPRAGE_br_raw_20160607150253624_122_S458475_I727731.nii.gzConfidences: 68.89, 30.30,  0.81
pd        	ADNI_073_S_4360_MR_MPRAGE_br_raw_20120217165221544_149_S141196_I285631.nii.gzConfidences: 59.63, 35.83,  4.55
t2        	ADNI_033_S_0906_MR_Axial_PD_T2_FSE__br_raw_20060926122133319_1_S19312_I25051.nii.gzConfidences: 33.50, 10.43, 56.07
pd        	ADNI_012_S_0689_MR_MPRAGE_br_raw_20070111081429250_1_S24939_I35973.nii.gzConfidences: 81.28, 10.05,  8.67
t2        	ADNI_126_S_0606_MR_Axial_PD_T2_FSE__br_raw_20140715135053656_21_S225098_I435640.nii.gzConfidences: 31.67,  6.09, 62.24
pd        	ADNI_116_S_4199_MR_MPRAGE_br_raw_20131017123800202_145_S204148_I394911.nii.gzConfidences: 80.80, 14.75,  4.45
pd        	ADNI_016_S_1121_MR_MPRAGE_br_raw_20081222145750472_137_S61064_I132087.nii.gzConfidences: 91.08,  6.31,  2.62
pd        	ADNI_137_S_4852_MR_MPRAGE_br_raw_20120802092236751_154_S159296_I321127.nii.gzConfidences: 74.83, 21.69,  3.48
pd        	ADNI_099_S_4480_MR_MPRAGE_br_raw_20120905080724362_17_S166054_I330216.nii.gzConfidences: 74.96, 19.63,  5.41
t2        	ADNI_094_S_1015_MR_Axial__STRAIGHT__PD_T2_FSE_br_raw_20070525113556053_1_S32638_I55204.nii.gzConfidences: 30.76,  7.60, 61.64
t2        	ADNI_136_S_1227_MR_Axial_PD_T2_FSE__br_raw_20070828091010787_1_S38552_I70555.nii.gzConfidences: 21.01, 18.90, 60.09
t2        	ADNI_133_S_0727_MR_Axial_PD_T2_FSE__br_raw_20070920125441950_1_S39526_I73854.nii.gzConfidences: 26.85, 11.25, 61.90
pd        	ADNI_041_S_4271_MR_MPRAGE_br_raw_20121022135116323_19_S171630_I341561.nii.gzConfidences: 66.69, 31.64,  1.67
t2        	ADNI_126_S_4896_MR_Ax_T2_FSE_with_Fat_Sat_br_raw_20151027140830883_5_S292186_I534883.nii.gzConfidences: 28.02, 16.89, 55.09
pd        	ADNI_068_S_4061_MR_MPRAGE_br_raw_20110920161525038_136_S122802_I257082.nii.gzConfidences: 66.41, 20.56, 13.03
pd        	ADNI_019_S_4680_MR_MPRAGE_br_raw_20120712140629573_82_S157405_I316051.nii.gzConfidences: 68.38, 22.31,  9.31
t2        	ADNI_053_S_0507_MR_Axial_PD_T2_FSE__br_raw_20070611152337046_1_S33432_I56715.nii.gzConfidences: 35.69, 14.28, 50.03
pd        	ADNI_006_S_4960_MR_MPRAGE_br_raw_20131106151832149_144_S205571_I397512.nii.gzConfidences: 66.05, 11.53, 22.42
pd        	ADNI_035_S_4414_MR_MPRAGE_br_raw_20150414115520308_40_S255676_I486911.nii.gzConfidences: 72.80, 25.33,  1.88
t2        	ADNI_128_S_0528_MR_FSE_PD_T2__br_raw_20060517221711342_1_S14628_I15554.nii.gzConfidences: 22.35, 12.91, 64.75
pd        	ADNI_073_S_1207_MR_MPRAGE_br_raw_20070220153112593_98_S26777_I41074.nii.gzConfidences: 76.41,  3.18, 20.41
t2        	ADNI_137_S_0994_MR_Axial_PD_T2_FSE__br_raw_20071207123603098_1_S43449_I84338.nii.gzConfidences: 23.75, 11.73, 64.52
pd        	ADNI_020_S_1288_MR_MPRAGE_br_raw_20071011231232625_63_S41380_I77627.nii.gzConfidences: 80.52,  8.18, 11.31
pd        	ADNI_009_S_4741_MR_MPRAGE_br_raw_20130115163110739_19_S180225_I355121.nii.gzConfidences: 85.76, 13.56,  0.68
t2        	ADNI_130_S_0449_MR_Axial_PD_T2_FSE__br_raw_20080721142946247_7_S53701_I113634.nii.gzConfidences: 18.94, 17.59, 63.47
t2        	ADNI_027_S_1385_MR_Axial_PD_T2_FSE__br_raw_20080318142421756_1_S47221_I98765.nii.gzConfidences: 27.56, 12.11, 60.33
pd        	ADNI_031_S_4042_MR_MPRAGE_br_raw_20120514143547527_155_S150297_I303441.nii.gzConfidences: 65.79, 14.56, 19.66
pd        	ADNI_941_S_4187_MR_MPRAGE_br_raw_20111129163930852_7_S131234_I269113.nii.gzConfidences: 70.61, 23.40,  5.99
t2        	ADNI_021_S_0332_MR_Axial_PD_T2_FSE__br_raw_20061019114236735_87_S20321_I26589.nii.gzConfidences: 15.69,  9.71, 74.60
pd        	ADNI_013_S_2389_MR_MPRAGE_br_raw_20110624150420867_166_S112355_I241411.nii.gzConfidences: 57.22, 25.02, 17.75
pd        	ADNI_031_S_4194_MR_MPRAGE_br_raw_20111202161409273_94_S131659_I269697.nii.gzConfidences: 65.18, 10.18, 24.63
pd        	ADNI_137_S_4227_MR_MPRAGE_br_raw_20110921100434604_168_S122848_I257210.nii.gzConfidences: 81.77, 14.59,  3.63
pd        	ADNI_073_S_5090_MR_MPRAGE_br_raw_20130213163556787_126_S182207_I359044.nii.gzConfidences: 70.48, 28.45,  1.07
t2        	ADNI_037_S_0552_MR_FSE_PD_T2__br_raw_20071030154807644_95_S42049_I79680.nii.gzConfidences: 22.24, 15.22, 62.54
t1        	ADNI_029_S_4384_MR_Axial_T2-FSE_with_Fat_Sat__br_raw_20130215152322817_31_S182550_I360486.nii.gzConfidences: 40.44, 40.67, 18.89
pd        	ADNI_123_S_4806_MR_MPRAGE_br_raw_20130115145151150_28_S180211_I355103.nii.gzConfidences: 77.79, 18.83,  3.38
pd        	ADNI_137_S_4623_MR_MPRAGE_br_raw_20130513135204043_23_S189200_I372101.nii.gzConfidences: 77.63, 13.10,  9.27
t2        	ADNI_116_S_0834_MR_FSE_PD_T2__br_raw_20061002115817687_3_S19569_I25469.nii.gzConfidences: 17.01,  7.29, 75.71
pd        	ADNI_137_S_0994_MR_MPRAGE_br_raw_20131203102521090_7_S206934_I399834.nii.gzConfidences: 84.50, 14.46,  1.03
t1        	ADNI_126_S_4514_MR_Ax_T2_FSE_with_Fat_Sat_br_raw_20140224133310396_6_S213230_I415264.nii.gzConfidences: 36.63, 40.85, 22.52
pd        	ADNI_072_S_4465_MR_MPRAGE_br_raw_20161001105627992_174_S503212_I780832.nii.gzConfidences: 74.92, 13.33, 11.75
t2        	ADNI_130_S_0289_MR_Axial_PD_T2_FSE__br_raw_20060313144252187_1_S12109_I11848.nii.gzConfidences: 34.55,  3.67, 61.78
pd        	ADNI_018_S_2133_MR_MPRAGE_br_raw_20110323105016148_123_S102174_I224638.nii.gzConfidences: 56.44, 17.83, 25.72
pd        	ADNI_123_S_4806_MR_MPRAGE_br_raw_20120924104804418_137_S168513_I336476.nii.gzConfidences: 66.80, 31.96,  1.24
t2        	ADNI_094_S_1330_MR_Axial_STRAIGHT_PD_T2_FSE_br_raw_20080401121240233_1_S47765_I100019.nii.gzConfidences: 30.58,  5.58, 63.84
t2        	ADNI_002_S_0816_MR_Axial_PD_T2_FSE__br_raw_20060831015915155_1_S18408_I23603.nii.gzConfidences: 46.65,  4.25, 49.10
pd        	ADNI_018_S_2133_MR_MPRAGE_br_raw_20101025161338150_15_S93680_I199195.nii.gzConfidences: 55.04, 18.34, 26.62
t2        	ADNI_116_S_0834_MR_FSE_PD_T2__br_raw_20101103163343843_45_S94161_I202103.nii.gzConfidences: 21.60,  9.93, 68.47
pd        	ADNI_114_S_2392_MR_MPRAGE_br_raw_20110624141320765_85_S112488_I241614.nii.gzConfidences: 72.02, 25.88,  2.10
t2        	ADNI_136_S_0300_MR_Axial_PD_T2_FSE__br_raw_20070530073402206_1_S32744_I55412.nii.gzConfidences: 17.19,  4.78, 78.04
pd        	ADNI_036_S_0672_MR_MPRAGE_br_raw_20080811183542864_1_S55246_I115896.nii.gzConfidences: 61.96, 14.45, 23.59
t2        	ADNI_002_S_0954_MR_Axial_PD_T2_FSE__br_raw_20071015175214568_95_S41497_I77801.nii.gzConfidences: 43.07, 10.45, 46.48
pd        	ADNI_128_S_4607_MR_MPRAGE_br_raw_20150601151858812_104_S261817_I495305.nii.gzConfidences: 77.19, 18.13,  4.68
t1        	ADNI_003_S_4555_MR_Axial_T2-FSE_WITH_Fat_Sat__br_raw_20140402140708342_25_S215286_I418565.nii.gzConfidences: 35.92, 58.69,  5.39
pd        	ADNI_072_S_2093_MR_MPRAGE_br_raw_20111024100345807_42_S126075_I262039.nii.gzConfidences: 75.33, 16.50,  8.17
pd        	ADNI_041_S_4143_MR_MPRAGE_br_raw_20120223163954941_156_S141630_I286332.nii.gzConfidences: 67.87, 31.85,  0.28
pd        	ADNI_012_S_0689_MR_MPRAGE_br_raw_20070111081610281_1_S24938_I35972.nii.gzConfidences: 84.60, 10.59,  4.82
pd        	ADNI_051_S_1072_MR_MPRAGE_br_raw_20080219130412984_90_S45849_I90755.nii.gzConfidences: 83.21, 13.19,  3.60
pd        	ADNI_941_S_4187_MR_MPRAGE_br_raw_20120831083349671_159_S165483_I329496.nii.gzConfidences: 75.84, 17.32,  6.84
t2        	ADNI_136_S_0300_MR_Axial_PD_T2_FSE__br_raw_20060510100051882_1_S14135_I14814.nii.gzConfidences: 21.90,  5.89, 72.21
pd        	ADNI_031_S_4194_MR_MPRAGE_br_raw_20120228153111434_4_S141972_I286944.nii.gzConfidences: 46.41, 28.78, 24.80
t2        	ADNI_130_S_0102_MR_Axial_PD_T2_FSE__br_raw_20060103135000234_1_S10745_I9708.nii.gzConfidences: 27.26,  5.18, 67.56
pd        	ADNI_036_S_4894_MR_MPRAGE_br_raw_20121113091949670_141_S174315_I346266.nii.gzConfidences: 69.19, 29.92,  0.89
pd        	ADNI_128_S_4599_MR_MPRAGE_br_raw_20120319091450950_142_S144117_I290869.nii.gzConfidences: 79.40, 16.34,  4.27
t2        	ADNI_033_S_0513_MR_Axial_PD_T2_FSE__br_raw_20071129163358372_1_S43163_I83761.nii.gzConfidences: 20.09,  5.97, 73.93
pd        	ADNI_041_S_4271_MR_MPRAGE_br_raw_20111011124607848_69_S125037_I260507.nii.gzConfidences: 80.12, 18.94,  0.94
pd        	ADNI_036_S_4714_MR_MPRAGE_br_raw_20120730164113034_77_S158965_I319663.nii.gzConfidences: 65.98, 19.09, 14.92
t2        	ADNI_126_S_4891_MR_Ax_T2_FSE_with_Fat_Sat_br_raw_20130219140150008_6_S182651_I360649.nii.gzConfidences: 24.58, 32.09, 43.33
t2        	ADNI_053_S_0621_MR_Axial_PD_T2_FSE__br_raw_20080110092201109_1_S44455_I86885.nii.gzConfidences: 21.31, 10.91, 67.78
pd        	ADNI_037_S_4028_MR_MPRAGE_br_raw_20111115145326551_45_S116844_I247840.nii.gzConfidences: 76.32, 14.02,  9.66
pd        	ADNI_037_S_4381_MR_MPRAGE_br_raw_20140321135904940_31_S214629_I417543.nii.gzConfidences: 86.97,  7.44,  5.59
t1        	ADNI_127_S_4604_MR_Ax_T2_FSE_with_Fat_Sat_br_raw_20140326104748945_5_S214728_I417733.nii.gzConfidences: 28.79, 46.57, 24.63
pd        	ADNI_020_S_1288_MR_MPRAGE_br_raw_20080321215719035_98_S47346_I99327.nii.gzConfidences: 80.15, 14.96,  4.89
pd        	ADNI_072_S_2116_MR_MPRAGE_br_raw_20110121113818578_14_S98008_I213610.nii.gzConfidences: 79.54, 19.63,  0.82
t2        	ADNI_027_S_1385_MR_Axial_PD_T2_FSE__br_raw_20070921122715682_1_S39644_I74135.nii.gzConfidences: 30.97, 17.95, 51.07
pd        	ADNI_051_S_1072_MR_MPRAGE_br_raw_20070129164321361_92_S25623_I37605.nii.gzConfidences: 70.77, 23.84,  5.39
t2        	ADNI_131_S_0319_MR_Axial_PD_T2_FSE__br_raw_20060321155657259_1_S12321_I12193.nii.gzConfidences: 29.45, 15.80, 54.75
t2        	ADNI_127_S_5058_MR_Ax_T2_FSE_with_Fat_Sat_br_raw_20140113160928087_25_S210078_I404586.nii.gzConfidences: 32.67, 24.96, 42.37
t2        	ADNI_136_S_0107_MR_Axial_PD_T2_FSE__br_raw_20070227160038734_1_S27177_I41725.nii.gzConfidences: 28.78, 12.36, 58.86
pd        	ADNI_003_S_0908_MR_MPRAGE_br_raw_20080225165642255_98_S46187_I92660.nii.gzConfidences: 86.24,  9.71,  4.05
t2        	ADNI_136_S_0579_MR_Axial_PD_T2_FSE__br_raw_20080819103722495_1_S55494_I116327.nii.gzConfidences: 29.10,  6.90, 64.00
pd        	ADNI_031_S_4042_MR_MPRAGE_br_raw_20111208145152328_143_S132230_I270579.nii.gzConfidences: 65.07, 17.36, 17.57
t2        	ADNI_002_S_1155_MR_Axial_PD_T2_FSE__br_raw_20140708154217071_25_S97232_I209894.nii.gzConfidences: 24.06,  6.40, 69.53
t2        	ADNI_127_S_0754_MR_Axial_PD_T2_FSE__br_raw_20070313184349238_1_S28058_I44617.nii.gzConfidences: 19.51, 16.82, 63.67
t2        	ADNI_129_S_4369_MR_Ax_T2_FSE_with_Fat_Sat_br_raw_20131121164204619_17_S206522_I399185.nii.gzConfidences: 25.28, 33.34, 41.37
pd        	ADNI_035_S_4414_MR_MPRAGE_br_raw_20120927112448150_53_S168913_I336978.nii.gzConfidences: 52.93, 43.28,  3.79
pd        	ADNI_072_S_2070_MR_MPRAGE_br_raw_20101217105513485_173_S96709_I209014.nii.gzConfidences: 66.94, 22.11, 10.95
t2        	ADNI_006_S_0498_MR_Axial_PD_T2_FSE__br_raw_20060626130355546_1_S15855_I17503.nii.gzConfidences: 19.30,  8.64, 72.06
t2        	ADNI_052_S_1054_MR_Axial_PD_T2_FSE__br_raw_20070606131233203_1_S33096_I56124.nii.gzConfidences: 41.52,  8.79, 49.70
t2        	ADNI_126_S_4891_MR_Ax_T2_FSE_with_Fat_Sat_br_raw_20160808163916580_4_S489927_I764404.nii.gzConfidences: 27.15, 25.02, 47.83
pd        	ADNI_031_S_4042_MR_MPRAGE_br_raw_20110516160224171_12_S109059_I235235.nii.gzConfidences: 53.78, 23.52, 22.70
pd        	ADNI_031_S_2233_MR_MPRAGE_br_raw_20110309143414480_37_S101331_I223352.nii.gzConfidences: 53.66, 24.81, 21.53
t2        	ADNI_021_S_5099_MR_Ax_T2_FSE_with_Fat_Sat_br_raw_20150304163551208_5_S250585_I475848.nii.gzConfidences: 25.23, 34.27, 40.50
t2        	ADNI_033_S_0922_MR_Axial_PD_T2_FSE__br_raw_20080410153502558_1_S48607_I102169.nii.gzConfidences: 35.09,  2.40, 62.52
t2        	ADNI_137_S_0669_MR_Axial_PD_T2_FSE__br_raw_20080219084607303_111_S45815_I90703.nii.gzConfidences: 14.48,  2.11, 83.41
pd        	ADNI_073_S_4795_MR_MPRAGE_br_raw_20130404093946376_31_S185911_I365455.nii.gzConfidences: 66.96, 22.34, 10.70
t2        	ADNI_007_S_0128_MR_Axial_PD_T2_FSE__br_raw_20060118153534820_1_S10940_I10011.nii.gzConfidences: 24.19,  7.84, 67.97
pd        	ADNI_009_S_4324_MR_MPRAGE_br_raw_20120131182847234_84_S139027_I281698.nii.gzConfidences: 67.26, 32.48,  0.26
t2        	ADNI_002_S_1018_MR_Axial_PD_T2_FSE__br_raw_20061129231927228_1_S23126_I30873.nii.gzConfidences: 18.97, 11.30, 69.73
t2        	ADNI_027_S_2245_MR_Ax_T2_FSE_with_Fat_Sat_br_raw_20140113193641814_11_S210110_I404626.nii.gzConfidences: 29.52, 32.22, 38.26
t2        	ADNI_133_S_0913_MR_Axial_PD_T2_FSE__br_raw_20080121134436158_1_S44747_I87903.nii.gzConfidences: 25.97,  7.88, 66.15
t2        	ADNI_126_S_2360_MR_Ax_T2_FSE_with_Fat_Sat_br_raw_20150520160951775_26_S260768_I493899.nii.gzConfidences: 25.36, 25.83, 48.81
pd        	ADNI_133_S_0913_MR_MPRAGE_br_raw_20080724144950671_1_S54090_I114262.nii.gzConfidences: 70.17, 29.30,  0.52
pd        	ADNI_073_S_2154_MR_MPRAGE_br_raw_20101101165354938_93_S93987_I200978.nii.gzConfidences: 65.47, 28.49,  6.04
pd        	ADNI_037_S_4706_MR_MPRAGE_br_raw_20130508105152860_29_S188861_I371504.nii.gzConfidences: 70.14, 20.09,  9.77
t2        	ADNI_052_S_0989_MR_Axial_PD_T2_FSE__br_raw_20080813100440671_1_S55328_I116056.nii.gzConfidences: 22.35,  5.12, 72.53
pd        	ADNI_041_S_4874_MR_MPRAGE_br_raw_20120802153254219_33_S159369_I321230.nii.gzConfidences: 53.24, 35.95, 10.81
pd        	ADNI_067_S_4184_MR_MPRAGE_br_raw_20120919152755499_152_S168120_I335543.nii.gzConfidences: 47.79, 23.32, 28.89
